Result for RegNo: 22155135001
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,49,28,77,B,3.00
100404,Discrete Mathematics,33,27,60,C,4.00
100407,Human Resource Development and Organizational Behavior,48,28,76,B,3.00
105401,Computer Organization & Architecture,46,29,75,B,3.00
105402,Design & Analysis of Algorithms,52,23,75,B,3.00
105403,Operating Systems,35,27,62,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,18,46,A+,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,29,18,47,A+,2.00


Result for RegNo: 22155135002
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,57,27,84,A,3.00
100404,Discrete Mathematics,35,26,61,C,4.00
100407,Human Resource Development and Organizational Behavior,50,22,72,B,3.00
105401,Computer Organization & Architecture,47,29,76,B,3.00
105402,Design & Analysis of Algorithms,49,24,73,B,3.00
105403,Operating Systems,41,27,68,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,27,19,46,A+,2.00
105403P,Operating Systems,27,18,45,A+,2.00


Result for RegNo: 22155135003
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,27,20,47,P,3.00
100404,Discrete Mathematics,15,22,37,F,4.00
100407,Human Resource Development and Organizational Behavior,25,20,45,P,3.00
105401,Computer Organization & Architecture,29,23,52,D,3.00
105402,Design & Analysis of Algorithms,25,15,40,P,3.00
105403,Operating Systems,31,15,46,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,20,14,34,C,2.00
105403P,Operating Systems,22,15,37,B,2.00


Result for RegNo: 22155135004
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,41,26,67,C,3.00
100404,Discrete Mathematics,35,25,60,C,4.00
100407,Human Resource Development and Organizational Behavior,45,28,73,B,3.00
105401,Computer Organization & Architecture,41,29,70,B,3.00
105402,Design & Analysis of Algorithms,33,27,60,C,3.00
105403,Operating Systems,52,20,72,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,20,18,38,B,2.00
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135005
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,37,20,57,D,3.00
100404,Discrete Mathematics,35,21,56,D,4.00
100407,Human Resource Development and Organizational Behavior,41,25,66,C,3.00
105401,Computer Organization & Architecture,45,27,72,B,3.00
105402,Design & Analysis of Algorithms,36,21,57,D,3.00
105403,Operating Systems,33,24,57,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,12,39,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135006
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,39,19,58,D,3.00
100404,Discrete Mathematics,46,20,66,C,4.00
100407,Human Resource Development and Organizational Behavior,38,22,60,C,3.00
105401,Computer Organization & Architecture,46,27,73,B,3.00
105402,Design & Analysis of Algorithms,44,24,68,C,3.00
105403,Operating Systems,25,22,47,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,12,38,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,23,19,42,A,2.00
105403P,Operating Systems,24,16,40,A,2.00


Result for RegNo: 22155135007
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,63,23,86,A,3.00
100404,Discrete Mathematics,47,27,74,B,4.00
100407,Human Resource Development and Organizational Behavior,45,26,71,B,3.00
105401,Computer Organization & Architecture,52,28,80,A,3.00
105402,Design & Analysis of Algorithms,47,25,72,B,3.00
105403,Operating Systems,35,26,61,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,18,42,A,2.00
105403P,Operating Systems,27,16,43,A,2.00


Result for RegNo: 22155135008
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,64,20,84,A,3.00
100404,Discrete Mathematics,27,24,51,D,4.00
100407,Human Resource Development and Organizational Behavior,41,22,63,C,3.00
105401,Computer Organization & Architecture,49,28,77,B,3.00
105402,Design & Analysis of Algorithms,35,18,53,D,3.00
105403,Operating Systems,33,20,53,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135009
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,57,27,84,A,3.00
100404,Discrete Mathematics,58,23,81,A,4.00
100407,Human Resource Development and Organizational Behavior,44,28,72,B,3.00
105401,Computer Organization & Architecture,58,29,87,A,3.00
105402,Design & Analysis of Algorithms,56,26,82,A,3.00
105403,Operating Systems,53,29,82,A,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,29,18,47,A+,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,20,47,A+,2.00
105403P,Operating Systems,27,18,45,A+,2.00


