Result for RegNo: 22155135001
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,18,46,A+,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,29,18,47,A+,2.00

Result for RegNo: 22155135002
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,27,19,46,A+,2.00
105403P,Operating Systems,27,18,45,A+,2.00

Result for RegNo: 22155135003
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,20,14,34,C,2.00
105403P,Operating Systems,22,15,37,B,2.00

Result for RegNo: 22155135004
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,20,18,38,B,2.00
105403P,Operating Systems,25,16,41,A,2.00

Result for RegNo: 22155135005
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,12,39,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135006
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,12,38,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,23,19,42,A,2.00
105403P,Operating Systems,24,16,40,A,2.00

Result for RegNo: 22155135007
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,18,42,A,2.00
105403P,Operating Systems,27,16,43,A,2.00

Result for RegNo: 22155135008
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,16,41,A,2.00

Result for RegNo: 22155135009
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,29,18,47,A+,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,20,47,A+,2.00
105403P,Operating Systems,27,18,45,A+,2.00

Result for RegNo: 22155135010
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,14,42,A,2.00
105401P,Computer Organization & Architecture,28,16,44,A,2.00
105402P,Design & Analysis of Algorithms,25,17,42,A,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135011
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,17,42,A,2.00

Result for RegNo: 22155135012
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,25,20,45,A+,2.00
105403P,Operating Systems,25,17,42,A,2.00

Result for RegNo: 22155135013
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,16,44,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,29,19,48,A+,2.00
105403P,Operating Systems,26,17,43,A,2.00

Result for RegNo: 22155135014
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,27,13,40,A,2.00
105403P,Operating Systems,26,16,42,A,2.00

Result for RegNo: 22155135015
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,26,16,42,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,23,17,40,A,2.00

Result for RegNo: 22155135016
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,27,17,44,A,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135017
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,23,15,38,B,2.00
105403P,Operating Systems,27,17,44,A,2.00

Result for RegNo: 22155135018
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,14,39,B,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,28,16,44,A,2.00

Result for RegNo: 22155135019
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,23,17,40,A,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135020
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,22,17,39,B,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135021
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,19,47,A+,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,26,20,46,A+,2.00
105403P,Operating Systems,24,19,43,A,2.00

Result for RegNo: 22155135022
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,16,41,A,2.00

Result for RegNo: 22155135023
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135024
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,25,18,43,A,2.00
105402P,Design & Analysis of Algorithms,22,17,39,B,2.00
105403P,Operating Systems,28,17,45,A+,2.00

Result for RegNo: 22155135025
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,11,37,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,12,36,B,2.00
105403P,Operating Systems,22,17,39,B,2.00

Result for RegNo: 22155135026
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,11,36,B,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,15,43,A,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135027
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,15,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,25,20,45,A+,2.00
105403P,Operating Systems,22,17,39,B,2.00

Result for RegNo: 22155135028
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,25,17,42,A,2.00
105403P,Operating Systems,26,17,43,A,2.00

Result for RegNo: 22155135030
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,15,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,27,17,44,A,2.00

Result for RegNo: 22155135031
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,17,44,A,2.00
105403P,Operating Systems,25,16,41,A,2.00

Result for RegNo: 22155135032
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135033
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,19,47,A+,2.00
105401P,Computer Organization & Architecture,27,18,45,A+,2.00
105402P,Design & Analysis of Algorithms,25,13,38,B,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135034
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,17,44,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,25,16,41,A,2.00

Result for RegNo: 22155135035
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,15,40,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,26,17,43,A,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135037
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,26,15,41,A,2.00
105403P,Operating Systems,23,17,40,A,2.00

Result for RegNo: 22155135038
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,26,15,41,A,2.00
105403P,Operating Systems,25,17,42,A,2.00

Result for RegNo: 22155135039
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,26,17,43,A,2.00

Result for RegNo: 22155135040
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,12,37,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135041
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,12,39,B,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135043
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,15,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135044
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,24,17,41,A,2.00

Result for RegNo: 22155135045
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,27,18,45,A+,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,25,17,42,A,2.00

Result for RegNo: 22155135046
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,13,40,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,23,13,36,B,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135047
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,11,37,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,25,12,37,B,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135049
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,12,39,B,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,25,15,40,A,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135050
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,12,38,B,2.00
105401P,Computer Organization & Architecture,25,18,43,A,2.00
105402P,Design & Analysis of Algorithms,24,14,38,B,2.00
105403P,Operating Systems,22,16,38,B,2.00

Result for RegNo: 22155135051
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,12,38,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,13,37,B,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135052
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,26,13,39,B,2.00
105403P,Operating Systems,26,19,45,A+,2.00

Result for RegNo: 22155135053
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,17,44,A,2.00
105403P,Operating Systems,28,17,45,A+,2.00

Result for RegNo: 22155135054
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,14,42,A,2.00
105401P,Computer Organization & Architecture,25,18,43,A,2.00
105402P,Design & Analysis of Algorithms,24,14,38,B,2.00
105403P,Operating Systems,23,16,39,B,2.00

Result for RegNo: 22155135056
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,13,39,B,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,24,12,36,B,2.00
105403P,Operating Systems,24,16,40,A,2.00

Result for RegNo: 22155135057
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,14,42,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
